0.19, 0.0029
0.21, 0.009
0.43, 0.0
0.66, 0.29
0.76, 0.0
0.77, 0.13
0.92, 0.0
1.0, 0.0
1.1, 0.0
1.2, 0.58
1.3, 0.21
1.3, 0.0
1.4, 0.0
1.4, 0.0
1.6, 0.36
1.8, 0.0
1.8, 0.0
1.8, 0.0
2.0, 0.0
2.3, 0.0
2.4, 0.0
2.4, 10
2.5, 0.0
2.6, 0.0
2.7, 0.0
2.8, 0.0
3.0, 13
3.0, 24
3.0, 29
3.0, 37
3.2, 0.0
3.3, 0.81
3.5, 2.80
3.6, 0.86
3.8, 0.0
4.0, 38
4.0, 37
4.0, 49
4.2, 0.0
4.2, 0.0
4.4, 0.0
4.4, 0.0
4.8, 0.0
4.9, 0.0
5.0, 2.25
5.0, 0.2
5.0, 0.0
5.1, 0.0
5.2, 0.0
5.3, 0.0
5.4, 0.0
5.4, 0.0
5.7, 0.0
5.7, 23
5.9, 0.0
6.0, 0.0
6.0, 26
6.0, 594
6.0, 51
6.0, 53
6.1, 0.0
6.7, 0.0
6.7, 1.26
7.0, 4.13
7.0, 7
7.0, 62
7.0, 66
7.0, 81
7.1, 0.0
7.1, 0.0
7.2, 2.05
7.3, 0.0
7.3, 1.49
8.0, 67
8.0, 89
8.0, 84
8.5, 0.0
8.5, 0.0
9.0, 13
9.0, 83
9.2, 0.0
9.8, 5.46
9.8, 0.0
10, 4
10, 483
10, 87
10, 234
10, 41
10, 136
10, 707
10, 231
10, 5545
10, 108
10, 2.32
10, 0.0
11, 0.0
11, 117
11, 0.0
12, 139
12, 1235
12, 111
12, 134
12, 14.76
13, 5.41
13, 1.71
13, 0.0
13, 14.14
14, 0.0
14, 0.0
14, 129
14, 153
14, 22.57
15, 63
15, 164
16, 142
17, 147
17, 151
17, 188
17, 191
17, 0.0
19, 9.18
19, 0.0
19, 58
19, 165
19, 214
20, 205
20, 2016
20, 485
20, 81
20, 422
20, 176
20, 388
20, 367
20, 143
20, 432
20, 237
20, 1232
20, 1243
20, 57
20, 81
20, 672
20, 294
20, 427
20, 271
20, 1053
20, 311
20, 495
20, 49.88
21, 68
22, 87
22, 197
23, 51
23, 209
24, 267
26, 53
27, 16.16
28, 250
29, 255
29, 325
30, 19
30, 350
30, 633
31, 273
32, 19.29
32, 8.27
32, 372
33, 294
33, 292
33, 362
34, 300
34, 0.0
35, 0.0
35, 0.502
35, 13.64
35, 47.70
35, 0.0
36, 168
36, 20
36, 13.794
38, 135
39, 40
40, 845
40, 79
40, 436
41, 15
41, 361
42, 4258
42, 370
43, 2630
43, 137
44, 389
44, 297.235
45, 413
46, 149
47, 53
48, 50
50, 359
50, 548
52, 3399
52, 167
55, 601
56, 420
56, 40
59, 214
59, 653
61, 675
61, 26
62, 255
62, 36.927
63, 20.37
64, 701
66, 207
66, 6664
68, 235
68, 242
69, 116.51
69, 4277
69, 764
70, 756
71, 304
71, 633
75, 62.89
80, 1440
80, 487
80, 334
81, 187
81, 890
85, 243
87, 459
88, 975
91, 288
94, 2134
100, 892
100, 90
100, 630
101, 44.89
102, 100.35
103, 10403
103, 914
112, 994
120, 3238
120, 4845
120, 999
122, 7534
123, 777
125, 516
128, 414
129, 592
130, 8228
130, 675
132, 424
133, 1462
145, 605
145, 3062
145, 692
145, 3303
148, 34.84
150, 3481
153, 537
156, 502
160, 362
160, 950
160, 3062
160, 492
160, 2510
161, 0.0
162, 921
162, 5339
163, 1020
164, 0.0
168, 98.42
170, 465
170, 1699
171, 1126
179, 45
180, 1957
180, 222
181, 1611
183, 56.87
189, 1128
195, 730
201, 355
204, 395
211, 600
212, 682
216, 695
220, 476
230, 0.0
232, 2063
245, 789
250, 2138
253, 2253
254, 1149
258, 831
261, 1532
268, 27055
269, 285
270, 6464
277, 2468
280, 17
283, 28581
290, 914
291, 902
292, 18023
320, 6757
321, 16645
381, 78.95
392, 650
401, 1291
418, 2154
424, 1367
429, 1383
432, 3916
436, 4914
444, 31100
444, 1862
445, 18262
453, 37250
470, 64
482, 1552
500, 1598
527, 195
531, 1401
535, 1611
571, 35258
583, 25400
609, 2948
666, 2146
736, 2370
759, 3161
782, 2520
905, 4558
932, 3003
1234, 3977
1300, 4189
1356, 3600
1430, 860
1500, 5600
1584, 5103
1850, 620
4070, 8783
9600, 21500

